"ID","name","longitude","latitude","n"
1,74,-4.84,57.9,19
2,75,-3,54.45,4
3,76,-0.92,43.38,8
4,77,2.37,42.33,2
5,78,22.38,46.03,7
6,79,12.38,49.55,10
7,80,11.47,46.33,8
8,81,12.33,44.3,9
9,82,14.898,40.634,6
10,83,24.15,40.85,7
12,85,21.16,51.4,13
13,86,23.91,51.5,10
14,87,27.55,53.92,13
15,88,10.54,64.58,2
16,89,15.36,66.82,6
17,90,25.72,66.5,8
18,91,28.317,64.183,21
19,92,29.39,61.76,8
20,93,38.75,56.4,3
21,94,39.5,51.83,11
22,95,60.33,52.46,11
23,96,60.13,55.03,7
24,97,61.25,56.5,6
25,98,71.1,55.18,14
26,100,78.33,55.36,27
27,104,84.96,56.46,15
28,105,82.9,51.5,14
29,106,87.75,56.21,37
30,109,92.19,58.45,9
